algorithm,tier,role,message_size,operation,samples,repetitions,batch_size,mean_ns,median_ns,stdev_ns,min_ns,max_ns,ci95_half_width_ns,ci95_lower_ns,ci95_upper_ns,mean_us,median_us,between_run_stdev_ns,throughput_mb_s_mean,throughput_mb_s_median,operations_per_second,ciphertext_size
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),32,encrypt,1000,10,1,587434.027,574262.0,53466.125215877306,533818.0,1155229.0,3313.864773580308,584120.1622264197,590747.8917735803,587.434027,574.262,25353.692030611008,0.054474202257949904,0.055723694062988674,1702.3188205609342,48
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),64,decrypt,1000,10,1,692288.243,677282.0,75128.60251929656,631888.0,2441719.0,4656.51902717425,687631.7239728258,696944.7620271742,692.288243,677.282,19288.21732959904,0.0924470416002717,0.09449535053345579,1444.4850250042452,80
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),64,encrypt,1000,10,1,687805.533,673135.0,64307.45674974661,632455.0,1352995.0,3985.817463694572,683819.7155363054,691791.3504636947,687.8055330000001,673.135,23192.2301365,0.0930495567851153,0.09507751045481218,1453.8993247674266,80
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),128,decrypt,1000,10,1,944891.463,889957.0,389141.800631818,833122.0,5318136.0,24119.25868640363,920772.2043135964,969010.7216864036,944.891463,889.957,129339.3806868969,0.1354652941763323,0.14382717367243586,1058.3226107525961,144
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),128,encrypt,1000,10,1,900971.066,884317.5,57127.05496814077,834004.0,1491564.0,3540.7715504524667,897430.2944495475,904511.8375504524,900.971066,884.3175,20426.930359359863,0.14206893520818123,0.1447443932750398,1109.9135563139162,144
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),256,decrypt,1000,10,1,1353340.691,1321717.5,127597.43119828832,1248928.0,2383311.0,7908.5707209950915,1345432.120279005,1361249.2617209952,1353.340691,1321.7175,32648.68124165182,0.1891615331619405,0.19368738024577872,738.9122389138302,272
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),256,encrypt,1000,10,1,1319448.024,1299076.5,76651.23716927865,1252572.0,2104155.0,4750.89290052369,1314697.1310994762,1324198.9169005237,1319.448024,1299.0765,29213.531802441306,0.19402052626818744,0.1970630674944855,757.8926807351072,272
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),512,decrypt,1000,10,1,2185712.757,2152280.0,162582.59479436913,2071027.0,3857415.0,10076.97362602865,2175635.7833739715,2195789.730626029,2185.7127570000002,2152.28,58933.05459841265,0.23424852984924951,0.23788726373891872,457.51665986181547,528
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),512,encrypt,1000,10,1,2194551.849,2142177.0,170101.48857038276,2067393.0,4187414.0,10542.999490443162,2184008.849509557,2205094.848490443,2194.551849,2142.177,63787.379534013126,0.23330503684991769,0.2390091948517793,455.6739000974955,528
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),1024,decrypt,1000,10,1,3933489.544,3835628.0,391132.7846606424,3710064.0,8581911.0,24242.661154999256,3909246.882845001,3957732.2051549996,3933.489544,3835.628,158721.99623777063,0.26032864420905144,0.266970623845691,254.22719161040177,1040
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),1024,encrypt,1000,10,1,3914896.685,3813563.0,300070.29764813517,3689849.0,6649895.0,18598.54973516237,3896298.1352648376,3933495.2347351625,3914.896685,3813.563,112991.04202717348,0.26156501241104907,0.26851529658746953,255.43458243266514,1040
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),2048,decrypt,1000,10,1,7403859.483,7174188.0,853293.6137388228,6977333.0,15203494.0,52887.686112896256,7350971.7968871035,7456747.169112897,7403.859483,7174.188,211357.08175952712,0.2766124890271638,0.2854678466747735,135.0646919077948,2064
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),2048,encrypt,1000,10,1,7223441.107,7146972.0,244863.1851908722,6946903.0,9180528.0,15176.777454404652,7208264.329545595,7238617.884454405,7223.441107,7146.972,119746.7211479464,0.2835213812452005,0.28655492144085637,138.43817443613304,2064
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),4096,decrypt,1000,10,1,14160807.464,13868346.5,1137040.2243418365,13515638.0,31266817.0,70474.48324292102,14090332.980757078,14231281.947242921,14160.807464,13868.3465,383351.61922816816,0.2892490425007872,0.295348836287008,70.61744201679375,4112
Schwaemm256-128,pure-python,NIST-LWC finalist (SPARKLE; software-oriented ARX),4096,encrypt,1000,10,1,14035254.931,13846279.5,613326.2186180749,13517021.0,21850510.0,38014.35287081712,13997240.578129184,14073269.283870816,14035.254931,13846.2795,247585.12668448093,0.29183652310818153,0.295819537659918,71.24915114945837,4112
TinyJAMBU-128,pure-python,"NIST-LWC finalist (smallest hardware footprint, 64-bit tag)",32,decrypt,1000,10,1,634798.42,629398.5,32921.73944763335,582751.0,864076.0,2040.5105513070464,632757.909448693,636838.930551307,634.7984200000001,629.3985,14909.100761625801,0.05040970328817138,0.050842192982665194,1575.3032277553557,40
TinyJAMBU-128,pure-python,"NIST-LWC finalist (smallest hardware footprint, 64-bit tag)",32,encrypt,1000,10,1,638802.237,632339.5,43241.73331932117,582859.0,1043917.0,2680.1503983479006,636122.0866016521,641482.3873983478,638.802237,632.3395,14568.374560468708,0.050093750689229354,0.05060572682870515,1565.4297090384173,40
TinyJAMBU-128,pure-python,"NIST-LWC finalist (smallest hardware footprint, 64-bit tag)",64,decrypt,1000,10,1,881162.217,874275.0,49301.89639717999,815060.0,1463235.0,3055.763197382468,878106.4538026175,884217.9801973824,881.1622169999999,874.275,18771.53026924198,0.07263134842287501,0.07320351148094136,1134.8648191074221,72
TinyJAMBU-128,pure-python,"NIST-LWC finalist (smallest hardware footprint, 64-bit tag)",64,encrypt,1000,10,1,896814.667,878445.0,90884.34049691768,815016.0,1691668.0,5633.069784405767,891181.5972155943,902447.7367844058,896.814667,878.445,52431.45757938242,0.07136368566996239,0.07285601261319717,1115.0575885931626,72
TinyJAMBU-128,pure-python,"NIST-LWC finalist (smallest hardware footprint, 64-bit tag)",128,decrypt,1000,10,1,1393451.766,1379359.0,87328.73868750191,1311857.0,2452633.0,5412.69130106652,1388039.0746989336,1398864.4573010665,1393.4517660000001,1379.359,24287.631006396492,0.09185822080331697,0.09279672659546934,717.642350025914,136
