algorithm,tier,message_size,operation,sample,peak_python_heap_bytes,current_python_heap_bytes
TinyJAMBU-128,pure-python,4096,encrypt,6,13181,288
TinyJAMBU-128,pure-python,4096,encrypt,7,13181,288
TinyJAMBU-128,pure-python,4096,encrypt,8,13181,288
TinyJAMBU-128,pure-python,4096,encrypt,9,13181,288
TinyJAMBU-128,pure-python,4096,encrypt,10,13181,288
TinyJAMBU-128,pure-python,4096,decrypt,1,13205,288
TinyJAMBU-128,pure-python,4096,decrypt,2,13205,288
TinyJAMBU-128,pure-python,4096,decrypt,3,13205,288
TinyJAMBU-128,pure-python,4096,decrypt,4,13205,288
TinyJAMBU-128,pure-python,4096,decrypt,5,13205,288
TinyJAMBU-128,pure-python,4096,decrypt,6,13205,288
TinyJAMBU-128,pure-python,4096,decrypt,7,13205,288
TinyJAMBU-128,pure-python,4096,decrypt,8,13205,288
TinyJAMBU-128,pure-python,4096,decrypt,9,13205,288
TinyJAMBU-128,pure-python,4096,decrypt,10,13205,288
Xoodyak,pure-python,32,encrypt,1,3017,776
Xoodyak,pure-python,32,encrypt,2,3017,776
Xoodyak,pure-python,32,encrypt,3,3017,776
Xoodyak,pure-python,32,encrypt,4,3017,776
Xoodyak,pure-python,32,encrypt,5,3017,776
Xoodyak,pure-python,32,encrypt,6,3017,776
Xoodyak,pure-python,32,encrypt,7,3017,776
Xoodyak,pure-python,32,encrypt,8,3017,776
Xoodyak,pure-python,32,encrypt,9,3017,776
Xoodyak,pure-python,32,encrypt,10,3017,776
Xoodyak,pure-python,32,decrypt,1,3131,776
Xoodyak,pure-python,32,decrypt,2,3131,776
Xoodyak,pure-python,32,decrypt,3,3131,776
Xoodyak,pure-python,32,decrypt,4,3131,776
Xoodyak,pure-python,32,decrypt,5,3131,776
Xoodyak,pure-python,32,decrypt,6,3131,776
Xoodyak,pure-python,32,decrypt,7,3131,776
Xoodyak,pure-python,32,decrypt,8,3131,776
Xoodyak,pure-python,32,decrypt,9,3131,776
Xoodyak,pure-python,32,decrypt,10,3131,776
Xoodyak,pure-python,64,encrypt,1,3049,776
Xoodyak,pure-python,64,encrypt,2,3049,776
Xoodyak,pure-python,64,encrypt,3,3049,776
Xoodyak,pure-python,64,encrypt,4,3049,776
Xoodyak,pure-python,64,encrypt,5,3049,776
Xoodyak,pure-python,64,encrypt,6,3049,776
Xoodyak,pure-python,64,encrypt,7,3049,776
Xoodyak,pure-python,64,encrypt,8,3049,776
Xoodyak,pure-python,64,encrypt,9,3049,776
Xoodyak,pure-python,64,encrypt,10,3049,776
Xoodyak,pure-python,64,decrypt,1,3195,776
Xoodyak,pure-python,64,decrypt,2,3195,776
Xoodyak,pure-python,64,decrypt,3,3195,776
Xoodyak,pure-python,64,decrypt,4,3195,776
Xoodyak,pure-python,64,decrypt,5,3195,776
Xoodyak,pure-python,64,decrypt,6,3195,776
Xoodyak,pure-python,64,decrypt,7,3195,776
Xoodyak,pure-python,64,decrypt,8,3195,776
Xoodyak,pure-python,64,decrypt,9,3195,776
Xoodyak,pure-python,64,decrypt,10,3195,776
Xoodyak,pure-python,128,encrypt,1,3113,776
Xoodyak,pure-python,128,encrypt,2,3113,776
Xoodyak,pure-python,128,encrypt,3,3113,776
Xoodyak,pure-python,128,encrypt,4,3113,776
Xoodyak,pure-python,128,encrypt,5,3113,776
Xoodyak,pure-python,128,encrypt,6,3113,776
Xoodyak,pure-python,128,encrypt,7,3113,776
Xoodyak,pure-python,128,encrypt,8,3113,776
Xoodyak,pure-python,128,encrypt,9,3113,776
Xoodyak,pure-python,128,encrypt,10,3113,776
Xoodyak,pure-python,128,decrypt,1,3323,776
Xoodyak,pure-python,128,decrypt,2,3323,776
Xoodyak,pure-python,128,decrypt,3,3323,776
Xoodyak,pure-python,128,decrypt,4,3323,776
Xoodyak,pure-python,128,decrypt,5,3323,776
Xoodyak,pure-python,128,decrypt,6,3323,776
Xoodyak,pure-python,128,decrypt,7,3323,776
Xoodyak,pure-python,128,decrypt,8,3323,776
Xoodyak,pure-python,128,decrypt,9,3323,776
Xoodyak,pure-python,128,decrypt,10,3323,776
Xoodyak,pure-python,256,encrypt,1,3281,776
Xoodyak,pure-python,256,encrypt,2,3281,776
Xoodyak,pure-python,256,encrypt,3,3281,776
Xoodyak,pure-python,256,encrypt,4,3281,776
Xoodyak,pure-python,256,encrypt,5,3281,776
Xoodyak,pure-python,256,encrypt,6,3281,776
Xoodyak,pure-python,256,encrypt,7,3281,776
Xoodyak,pure-python,256,encrypt,8,3281,776
Xoodyak,pure-python,256,encrypt,9,3281,776
Xoodyak,pure-python,256,encrypt,10,3281,776
Xoodyak,pure-python,256,decrypt,1,3619,776
Xoodyak,pure-python,256,decrypt,2,3619,776
Xoodyak,pure-python,256,decrypt,3,3619,776
Xoodyak,pure-python,256,decrypt,4,3619,776
Xoodyak,pure-python,256,decrypt,5,3619,776
Xoodyak,pure-python,256,decrypt,6,3619,776
Xoodyak,pure-python,256,decrypt,7,3619,776
Xoodyak,pure-python,256,decrypt,8,3619,776
Xoodyak,pure-python,256,decrypt,9,3619,776
Xoodyak,pure-python,256,decrypt,10,3619,776
Xoodyak,pure-python,512,encrypt,1,3597,776
Xoodyak,pure-python,512,encrypt,2,3597,776
Xoodyak,pure-python,512,encrypt,3,3597,776
Xoodyak,pure-python,512,encrypt,4,3597,776
Xoodyak,pure-python,512,encrypt,5,3597,776
Xoodyak,pure-python,512,encrypt,6,3597,776
Xoodyak,pure-python,512,encrypt,7,3597,776
Xoodyak,pure-python,512,encrypt,8,3597,776
Xoodyak,pure-python,512,encrypt,9,3597,776
Xoodyak,pure-python,512,encrypt,10,3597,776
Xoodyak,pure-python,512,decrypt,1,4191,776
Xoodyak,pure-python,512,decrypt,2,4191,776
Xoodyak,pure-python,512,decrypt,3,4191,776
Xoodyak,pure-python,512,decrypt,4,4191,776
Xoodyak,pure-python,512,decrypt,5,4191,776
Xoodyak,pure-python,512,decrypt,6,4191,776
Xoodyak,pure-python,512,decrypt,7,4191,776
Xoodyak,pure-python,512,decrypt,8,4191,776
Xoodyak,pure-python,512,decrypt,9,4191,776
Xoodyak,pure-python,512,decrypt,10,4191,776
Xoodyak,pure-python,1024,encrypt,1,4172,776
Xoodyak,pure-python,1024,encrypt,2,4172,776
Xoodyak,pure-python,1024,encrypt,3,4172,776
Xoodyak,pure-python,1024,encrypt,4,4172,776
Xoodyak,pure-python,1024,encrypt,5,4172,776
Xoodyak,pure-python,1024,encrypt,6,4172,776
Xoodyak,pure-python,1024,encrypt,7,4172,776
Xoodyak,pure-python,1024,encrypt,8,4172,776
Xoodyak,pure-python,1024,encrypt,9,4172,776
Xoodyak,pure-python,1024,encrypt,10,4172,776
Xoodyak,pure-python,1024,decrypt,1,5278,776
Xoodyak,pure-python,1024,decrypt,2,5278,776
Xoodyak,pure-python,1024,decrypt,3,5278,776
Xoodyak,pure-python,1024,decrypt,4,5278,776
Xoodyak,pure-python,1024,decrypt,5,5278,776
Xoodyak,pure-python,1024,decrypt,6,5278,776
Xoodyak,pure-python,1024,decrypt,7,5278,776
Xoodyak,pure-python,1024,decrypt,8,5278,776
Xoodyak,pure-python,1024,decrypt,9,5278,776
Xoodyak,pure-python,1024,decrypt,10,5278,776
Xoodyak,pure-python,2048,encrypt,1,5481,776
Xoodyak,pure-python,2048,encrypt,2,5481,776
Xoodyak,pure-python,2048,encrypt,3,5481,776
Xoodyak,pure-python,2048,encrypt,4,5481,776
Xoodyak,pure-python,2048,encrypt,5,5481,776
Xoodyak,pure-python,2048,encrypt,6,5481,776
Xoodyak,pure-python,2048,encrypt,7,5481,776
Xoodyak,pure-python,2048,encrypt,8,5481,776
Xoodyak,pure-python,2048,encrypt,9,5481,776
Xoodyak,pure-python,2048,encrypt,10,5481,776
Xoodyak,pure-python,2048,decrypt,1,7611,776
Xoodyak,pure-python,2048,decrypt,2,7611,776
Xoodyak,pure-python,2048,decrypt,3,7611,776
Xoodyak,pure-python,2048,decrypt,4,7611,776
Xoodyak,pure-python,2048,decrypt,5,7611,776
Xoodyak,pure-python,2048,decrypt,6,7611,776
Xoodyak,pure-python,2048,decrypt,7,7611,776
Xoodyak,pure-python,2048,decrypt,8,7611,776
Xoodyak,pure-python,2048,decrypt,9,7611,776
Xoodyak,pure-python,2048,decrypt,10,7611,776
Xoodyak,pure-python,4096,encrypt,1,9470,776
Xoodyak,pure-python,4096,encrypt,2,9470,776
Xoodyak,pure-python,4096,encrypt,3,9470,776
Xoodyak,pure-python,4096,encrypt,4,9470,776
Xoodyak,pure-python,4096,encrypt,5,9470,776
Xoodyak,pure-python,4096,encrypt,6,9470,776
Xoodyak,pure-python,4096,encrypt,7,9470,776
Xoodyak,pure-python,4096,encrypt,8,9470,776
Xoodyak,pure-python,4096,encrypt,9,9470,776
Xoodyak,pure-python,4096,encrypt,10,9470,776
Xoodyak,pure-python,4096,decrypt,1,13648,776
Xoodyak,pure-python,4096,decrypt,2,13648,776
Xoodyak,pure-python,4096,decrypt,3,13648,776
Xoodyak,pure-python,4096,decrypt,4,13648,776
